quest_id,title,category,difficulty,cost,location,impact,repeatable
1,使っていない部屋の照明を消す,電気・エネルギー,2,なし,家,3,はい
2,エアコンの設定温度を夏28℃・冬20℃にする,電気・エネルギー,2,なし,家,4,はい
3,使わない電化製品のプラグを抜く,電気・エネルギー,2,なし,家,3,はい
4,照明をLEDにする,電気・エネルギー,2,低,家,3,はい
5,冷蔵庫の開閉回数を減らす,電気・エネルギー,3,なし,家,3,はい
6,冷蔵庫の扉を開ける時間を短くする,電気・エネルギー,2,なし,家,3,はい
7,省エネ性能の高い家電を選ぶ,電気・エネルギー,2,なし,家,3,はい
8,カーテンやブラインドで室温調整をする,電気・エネルギー,2,なし,家,3,はい
9,電気ポットの保温機能を使わない,電気・エネルギー,2,なし,家,3,はい
10,テレビの明るさを下げる,電気・エネルギー,2,なし,家,3,はい
11,洗濯はまとめ洗いをする,電気・エネルギー,3,なし,家,3,はい
12,洗濯物を天日干しする,電気・エネルギー,3,なし,家,3,はい
13,シャワーの使用時間を短くする,電気・エネルギー,2,なし,家,4,はい
14,追い焚きをしない,電気・エネルギー,2,なし,家,4,はい
15,風呂のフタを閉めて保温する,電気・エネルギー,2,なし,家,3,はい
16,スマートメーターで電力使用量を確認する,電気・エネルギー,2,なし,どこでも,2,はい
17,省エネモードを有効にする,電気・エネルギー,2,なし,家,3,はい
18,待機電力を減らす行動を1つ行う,電気・エネルギー,3,なし,家,3,はい
19,太陽光発電を導入・検討する,電気・エネルギー,5,高,家,5,いいえ
20,再生可能エネルギーの電力プランを選ぶ,電気・エネルギー,2,なし,家,5,はい
21,グリーン電力証書を購入・検討する,電気・エネルギー,5,高,家,5,いいえ
22,小型太陽光充電器を使う,電気・エネルギー,2,なし,家,3,はい
23,太陽熱温水器を検討する,電気・エネルギー,5,高,家,5,いいえ
24,エネルギーの地産地消を調べる,電気・エネルギー,2,なし,どこでも,2,はい
25,再エネ関連の取り組みに参加する,電気・エネルギー,4,中,家,3,いいえ
26,エアコンの使用時間を短縮する,電気・エネルギー,3,なし,家,4,はい
27,昼間は照明を使わずに過ごす,電気・エネルギー,2,なし,家,3,はい
28,電源タップのスイッチを切る,電気・エネルギー,2,なし,家,3,はい
29,家電の掃除・メンテナンスを行う,電気・エネルギー,2,なし,家,3,はい
30,電力使用量を前日と比べる,電気・エネルギー,2,なし,家,3,はい
31,省エネ行動を家族と共有する,電気・エネルギー,2,なし,どこでも,2,はい
32,再エネ施設の情報を調べる,電気・エネルギー,2,なし,どこでも,2,はい
33,電力ピーク時間を避ける,電気・エネルギー,2,なし,家,3,はい
34,再エネ市民ファンドを調べる,電気・エネルギー,5,高,どこでも,2,いいえ
35,節電目標を立てる,電気・エネルギー,2,なし,どこでも,1,はい
36,電気代を確認する,電気・エネルギー,2,なし,どこでも,2,はい
37,エネルギー使用を記録する,電気・エネルギー,2,なし,どこでも,3,はい
38,省エネ製品ラベルを確認する,電気・エネルギー,2,なし,どこでも,2,はい
39,再エネニュースを読む,電気・エネルギー,2,なし,どこでも,2,はい
40,今日の省エネ行動を振り返る,電気・エネルギー,2,なし,どこでも,1,はい
41,短距離移動は徒歩または自転車にする,移動・交通,2,なし,外,4,はい
42,公共交通機関を利用する,移動・交通,2,中,外,4,はい
43,車のアイドリングをしない,移動・交通,2,なし,外,4,はい
44,急発進・急ブレーキを避ける,移動・交通,2,なし,外,4,はい
45,タイヤの空気圧を適正に保つ,移動・交通,2,なし,外,4,はい
46,カーシェアやライドシェアを利用する,移動・交通,2,中,外,4,はい
47,車の相乗りをする,移動・交通,2,なし,外,4,はい
48,不要な車移動を控える,移動・交通,2,なし,外,4,はい
49,テレワークやオンライン会議を活用する,移動・交通,2,なし,外,4,はい
50,近場での旅行や余暇を選ぶ,移動・交通,2,なし,外,4,はい
51,燃費の良い車を選ぶ,移動・交通,2,なし,外,4,はい
52,電気自動車や低燃費車を検討する,移動・交通,5,高,外,5,いいえ
53,移動距離を意識して行動する,移動・交通,2,なし,外,4,はい
54,自転車点検を行う,移動・交通,3,低,外,4,はい
55,徒歩移動を1回増やす,移動・交通,2,なし,外,4,はい
56,移動手段を見直す,移動・交通,3,なし,外,4,はい
57,移動によるCO₂を意識する,移動・交通,2,なし,外,4,はい
58,通勤・通学ルートを短縮する,移動・交通,3,なし,外,4,はい
59,バスや電車を優先する,移動・交通,2,なし,外,4,はい
60,車内の不要な荷物を減らす,移動・交通,3,なし,外,4,はい
61,ノーマイカーの日を作る,移動・交通,2,なし,外,4,はい
62,移動ログを振り返る,移動・交通,2,なし,外,1,はい
63,エコ移動を家族と共有する,移動・交通,2,なし,外,2,はい
64,移動手段を意識的に選ぶ,移動・交通,2,なし,外,4,はい
65,今日の移動を振り返る,移動・交通,2,なし,外,1,はい
66,マイバッグを使う,食・買い物,2,低,家/外,3,はい
67,マイボトルを使う,食・買い物,2,低,家/外,3,はい
68,マイ箸を使う,食・買い物,2,低,家/外,3,はい
69,食品購入前にリストを作る,食・買い物,5,高,家/外,3,いいえ
70,食品ロスを出さない,食・買い物,2,なし,家/外,4,はい
71,食材を使い切る調理をする,食・買い物,3,なし,家/外,3,はい
72,食べ残しをしない,食・買い物,2,なし,家/外,3,はい
73,適量を注文・調理する,食・買い物,2,なし,家/外,3,はい
74,地元産・旬の食材を選ぶ,食・買い物,2,なし,家/外,3,はい
75,肉の量を減らす,食・買い物,3,なし,家/外,4,はい
76,植物性食品を選ぶ,食・買い物,2,なし,家/外,3,はい
77,有機・環境配慮食品を選ぶ,食・買い物,2,中,家/外,3,はい
78,環境配慮漁業の魚を選ぶ,食・買い物,2,なし,家/外,3,はい
79,家庭菜園やプランター栽培をする,食・買い物,2,なし,家/外,3,はい
80,フードロス削減を意識した献立にする,食・買い物,3,なし,家/外,3,はい
81,消費期限と賞味期限を正しく理解する,食・買い物,2,なし,家/外,3,はい
82,包装の少ない商品を選ぶ,食・買い物,2,なし,家/外,3,はい
83,ペットボトル飲料を買わない,食・買い物,2,なし,家/外,3,はい
84,外食時に食べきる,食・買い物,2,なし,家/外,3,はい
85,再利用できる容器を使う,食・買い物,2,低,家/外,3,はい
86,地域の農家から購入する,食・買い物,5,高,家/外,3,いいえ
87,フェアトレード商品を選ぶ,食・買い物,2,中,家/外,3,はい
88,食材保存方法を見直す,食・買い物,3,なし,家/外,3,はい
89,コンビニ利用を減らす,食・買い物,3,なし,家/外,3,はい
90,まとめ買いをしすぎない,食・買い物,2,なし,家/外,3,はい
91,食事のCO₂を意識する,食・買い物,2,なし,家/外,3,はい
92,食品ロスに関する情報を調べる,食・買い物,2,なし,どこでも,4,はい
93,食の行動を記録する,食・買い物,2,なし,どこでも,3,はい
94,食事内容を振り返る,食・買い物,2,なし,どこでも,1,はい
95,地元商店で買い物をする,食・買い物,2,なし,家/外,3,はい
96,必要な分だけ購入する,食・買い物,5,高,家/外,3,いいえ
97,衝動買いをしない,食・買い物,2,なし,家/外,3,はい
98,詰め替え商品を選ぶ,食・買い物,2,低,家/外,3,はい
99,食べ物を無駄にしない工夫をする,食・買い物,2,なし,家/外,3,はい
100,食に感謝する,食・買い物,2,なし,家/外,1,はい
101,今日の食行動を振り返る,食・買い物,2,なし,どこでも,1,はい
102,環境配慮ラベルを確認する,食・買い物,2,なし,どこでも,2,はい
103,食材の在庫を確認する,食・買い物,3,なし,どこでも,2,はい
104,フードシェアを検討する,食・買い物,2,なし,家/外,3,はい
105,食のGX行動を共有する,食・買い物,2,なし,家/外,2,はい
106,ごみの分別を徹底する,資源循環,3,なし,家,3,はい
107,資源ごみを正しく分別する,資源循環,3,なし,家,3,はい
108,プラスチックごみを減らす,資源循環,3,なし,家,3,はい
109,使い捨て製品を避ける,資源循環,2,なし,家,2,はい
110,繰り返し使える物を選ぶ,資源循環,2,なし,家,2,はい
111,古紙やペットボトルをリサイクルする,資源循環,2,なし,家,3,はい
112,生ごみを堆肥化する,資源循環,3,なし,家,2,はい
113,コンポストを使う,資源循環,3,なし,家,4,はい
114,修理して長く使う,資源循環,2,なし,家,3,はい
115,フリマやリサイクルショップを利用する,資源循環,2,中,家,3,はい
116,古着や中古品を活用する,資源循環,2,なし,家,2,はい
117,過剰包装を避ける,資源循環,2,なし,家,3,はい
118,簡易包装の商品を選ぶ,資源循環,2,なし,家,3,はい
119,不用品を整理する,資源循環,2,なし,家,2,はい
120,捨てる前に再利用を考える,資源循環,2,なし,家,2,はい
121,詰め替え洗剤を使う,資源循環,2,低,家,3,はい
122,ゴミ袋の量を減らす,資源循環,3,なし,家,2,はい
123,紙の使用量を減らす,資源循環,3,なし,家,2,はい
124,両面印刷をする,資源循環,2,なし,家,2,はい
125,電池や小型家電を適切に回収する,資源循環,2,なし,家,2,はい
126,不要な印刷をしない,資源循環,2,なし,家,2,はい
127,ゴミの量を意識する,資源循環,2,なし,家,2,はい
128,ごみ削減目標を立てる,資源循環,2,なし,どこでも,1,はい
129,清掃活動に参加する,資源循環,4,中,外,2,いいえ
130,ごみ拾いをする,資源循環,4,なし,外,2,いいえ
131,梱包材を再利用する,資源循環,2,中,家,2,はい
132,長く使える製品を選ぶ,資源循環,2,なし,家,3,はい
133,修理可能か調べる,資源循環,2,なし,どこでも,3,はい
134,リユース方法を考える,資源循環,2,なし,家,2,はい
135,ゴミ出し回数を減らす,資源循環,3,なし,家,2,はい
136,リサイクルマークを確認する,資源循環,2,なし,どこでも,3,はい
137,ごみ削減行動を共有する,資源循環,2,なし,家,2,はい
138,ごみ削減の工夫を1つ行う,資源循環,2,なし,家,2,はい
139,ごみ問題について調べる,資源循環,2,なし,どこでも,2,はい
140,今日のごみ行動を振り返る,資源循環,2,なし,どこでも,1,はい
141,節水を意識する,水・自然・学び,2,なし,どこでも,4,はい
142,歯磨き中に水を止める,水・自然・学び,2,なし,どこでも,2,はい
143,食器洗いの水を減らす,水・自然・学び,3,なし,どこでも,2,はい
144,風呂の残り湯を再利用する,水・自然・学び,2,中,どこでも,2,はい
145,節水型設備を選ぶ,水・自然・学び,5,高,どこでも,5,いいえ
146,水を汚さない洗剤を使う,水・自然・学び,2,なし,どこでも,2,はい
147,油や薬品を流さない,水・自然・学び,2,なし,どこでも,2,はい
148,雨水を活用する,水・自然・学び,2,なし,どこでも,2,はい
149,雨水タンクを検討する,水・自然・学び,5,高,どこでも,2,いいえ
150,水漏れをすぐ修理する,水・自然・学び,2,なし,どこでも,3,はい
151,緑のカーテンを育てる,水・自然・学び,2,なし,どこでも,2,はい
152,植栽で断熱効果を高める,水・自然・学び,2,なし,どこでも,5,はい
153,ベランダや庭で植物を育てる,水・自然・学び,2,なし,どこでも,2,はい
154,在来種の植物を植える,水・自然・学び,2,なし,どこでも,2,はい
155,生物が住みやすい環境を作る,水・自然・学び,2,なし,どこでも,2,はい
156,植樹活動に参加する,水・自然・学び,4,中,外,2,いいえ
157,自然保護団体を支援する,水・自然・学び,4,なし,どこでも,2,いいえ
158,生物多様性に配慮した商品を選ぶ,水・自然・学び,2,なし,どこでも,2,はい
159,エコツーリズムに参加する,水・自然・学び,4,中,外,2,いいえ
160,環境認証材の商品を選ぶ,水・自然・学び,2,中,どこでも,2,はい
161,環境認証ラベルを確認する,水・自然・学び,2,なし,どこでも,2,はい
162,環境配慮企業の商品を選ぶ,水・自然・学び,2,なし,どこでも,2,はい
163,シェアリングサービスを使う,水・自然・学び,2,なし,どこでも,3,はい
164,環境金融・投資を調べる,水・自然・学び,2,なし,どこでも,2,はい
165,環境学習会に参加する,水・自然・学び,4,中,どこでも,2,いいえ
166,環境映画やドキュメンタリーを見る,水・自然・学び,2,なし,どこでも,2,はい
167,環境フットプリントを計算する,水・自然・学び,2,なし,どこでも,2,はい
168,GX行動をSNSで発信する,水・自然・学び,2,なし,どこでも,2,はい
169,家族や友人と環境の話をする,水・自然・学び,2,なし,どこでも,2,はい
170,子どもに環境の大切さを伝える,水・自然・学び,2,なし,どこでも,2,はい
171,職場や学校で環境行動を提案する,水・自然・学び,4,なし,職場/学校,2,いいえ
172,環境団体の活動に参加する,水・自然・学び,4,中,どこでも,2,いいえ
173,環境署名活動に参加する,水・自然・学び,4,中,どこでも,2,いいえ
174,環境政策について調べる,水・自然・学び,2,なし,どこでも,2,はい
175,環境に関するニュースを読む,水・自然・学び,2,なし,どこでも,2,はい
176,環境行動を記録する,水・自然・学び,2,なし,どこでも,2,はい
177,今日のGX行動を確認する,水・自然・学び,2,なし,どこでも,2,はい
178,明日のGX行動を決める,水・自然・学び,2,なし,どこでも,2,はい
179,環境への影響を振り返る,水・自然・学び,2,なし,どこでも,1,はい
180,GX行動を継続する,水・自然・学び,2,なし,どこでも,2,はい
